start,goal,distance,goal_risk_t150,std_late_risk,risk_late_risk,risk_reduction_pct_late,std_early_risk,late_interference_score,path_length_increase_pct_late,std_smoke_t150,risk_smoke_t150,smoke_reduction_t150
"(155, 140)","(32, 38)",159.7904878270293,0.0,109.09828870709758,18.6172085056913,82.93537989796158,21.409584581466394,87.68870412563119,13.00640772849678,103.07396130000001,30.513852699999997,72.5601086
"(31, 15)","(38, 131)",116.21101496846157,0.0,1.1664137333157886e-16,1.1664137333157886e-16,0.0,0.0,1.1664137333157886e-16,0.0,0.0,0.0,0.0
"(121, 91)","(25, 90)",96.00520819205592,1.47048e-26,28.19013442889694,22.041193867371533,21.81238467320786,1.379676834868862,26.81045759402808,7.4761851732240805,41.279867370000005,35.74912137,5.530746000000008
"(13, 25)","(112, 98)",123.00406497347964,0.587736,26.053436707484092,17.522927238121675,32.74235781305562,5.713512381571661,20.33992432591243,3.3473090157617795,37.14274330000001,27.76257156,9.380171740000005
"(36, 177)","(145, 101)",132.87964479181903,0.995158,75.62902761165505,68.15790754710457,9.878640914059716,26.785598552647926,48.84342905900712,4.612008919665967,58.3554877,54.16925596,4.186231739999997
"(156, 59)","(57, 147)",132.45754036671525,4.22824e-34,73.86345779994281,58.787713254087876,20.410288111189136,22.527743773670498,51.33571402627231,10.822222662050054,72.77779163,63.92353579,8.854255839999993
"(7, 161)","(15, 65)",96.33275663033837,0.0,2.2479831059931002e-26,2.2479831059931002e-26,0.0,0.0,2.2479831059931002e-26,0.0,0.0,0.0,0.0
"(124, 37)","(3, 49)",121.59358535712317,0.0,53.9115135557949,8.407616460252093,84.40478497872118,1.0660678498376002e-24,53.9115135557949,6.57348886428206,61.566324699999996,19.60934563,41.956979069999996
"(82, 99)","(166, 179)",116.0,6.41285e-07,55.7069940622537,12.724767562388893,77.15768409947106,0.3069944615772129,55.39999960067649,28.596718182134744,74.816248,26.07329293,48.74295507
"(45, 21)","(134, 89)",112.0044641967453,0.686328,48.578361334378,35.108358054631196,27.728401925765116,5.528486713231184,43.04987462114682,10.134795123080783,41.927493330000004,44.53492755999999,-2.6074342299999884
"(156, 105)","(14, 166)",154.5477272560163,0.0,90.47605882634923,74.148182961986,18.046625898793117,19.600818527310192,70.87524029903904,1.1276822997413134,84.88832199999999,56.15014970000001,28.73817229999998
"(38, 188)","(11, 72)",119.10079764636339,0.0,2.2479831059931002e-26,2.2479831059931002e-26,0.0,0.0,2.2479831059931002e-26,0.0,0.0,0.0,0.0
"(11, 168)","(75, 81)",108.00462953040486,0.14038,5.99279857314077,5.286001027224488,11.794114841171039,0.0,5.99279857314077,0.4859721137335863,14.449857300000001,12.3965227,2.0533346000000012
"(165, 108)","(71, 121)",94.89467845985885,0.0941254,108.01465076359122,74.72166421043296,30.82265814664876,2.510304763229542,105.50434600036168,48.647685520539135,94.411216,63.637453699999995,30.7737623
