grid_y,grid_x
179,91
180,92
181,93
181,94
180,95
180,96
180,97
180,98
181,99
182,100
182,101
182,102
182,103
182,104
182,105
182,106
182,107
182,108
181,109
181,110
181,111
181,112
181,113
181,114
181,115
181,116
181,117
181,118
181,119
181,120
181,121
181,122
180,123
179,124
179,125
179,126
179,127
179,128
179,129
178,130
178,131
178,132
178,133
178,134
178,135
178,136
177,137
176,138
176,139
176,140
176,141
176,142
176,143
176,144
176,145
176,146
176,147
176,148
176,149
176,150
176,151
176,152
176,153
176,154
175,154
174,154
173,154
172,154
171,154
170,154
169,154
168,154
167,154
166,153
165,152
164,151
163,151
162,151
161,151
160,151
159,151
158,151
157,151
156,151
155,151
154,151
153,151
152,151
151,151
150,151
149,151
148,151
147,151
146,151
145,151
144,151
143,151
142,151
141,151
140,151
139,151
138,151
137,151
136,151
135,151
134,151
133,151
132,151
131,151
130,151
129,151
128,152
127,153
126,154
125,154
124,154
123,154
122,154
121,154
120,154
119,154
118,154
117,154
116,154
115,154
114,153
113,152
112,151
111,150
110,149
109,148
108,147
107,146
106,145
105,144
104,143
103,142
102,141
101,140
100,139
99,138
98,137
98,136
97,135
97,134
96,133
96,132
96,131
95,130
95,129
94,128
94,127
93,126
93,125
93,124
93,123
92,122
91,121
